responseid,startdate,coop1,pass1,coop2,pass2,pass_prob,coop_mexotx,coop_mexoty,coop_meyotx,coop_meyoty,ddt_log_k,study,carit_correct,carit_go_correct,carit_nogo_correct,carit_rt,flanker_correct,flanker_error,flanker_slow,flanker_rt,q_gender,q_age,q_race,q_demrep,q_cash_choice,nfc,risk,trust,edu,income,wvs106_1,wvs108_1,wvs176_1,wvs250_1,bel2,bel2_5,urbanrural,urchild,q_income,q_maternal,q_household,q_neuro,q_anxious,q_exercise,q_sleep_1,q_screen_1,crt,bmi,Strategy
R_1jPKzjaBHXnj3Op,2/4/2022 15:23,100,1,100,1,1,100,100,100,100,-1.163893,Flanker,,,,,0.8565297,0.0927397,0.0507306,837.3841,1,45,1,5,1,5,0,1,4,7,10,10,10,1,4,97,2,4,1,2,3,2,4,8,6,8,0,26.77632,Coop
R_TpWdGQjUVvVzoSB,2/3/2022 16:47,100,1,100,1,1,100,100,100,100,-0.8183156,Flanker,,,,,0.8686666,0.0951667,0.0361667,829.1597,1,44,1,3,1,2,7,5,6,5,2,2,4,9,4,2,2,2,2,4,3,1,3,2,5,12,3,27.98649,Coop
R_2c7wZGNb5IihSUk,2/3/2022 18:14,0,1,0,1,1,100,0,50,0,1.065689,Flanker,,,,,0.8589596,0.0951445,0.045896,839.8916,2,39,1,3,1,3,3,6,4,3,6,6,2,8,2,96,2,5,1,1,2,2,3,2,6,10,2,34.60971,StubbornDef
R_w4CFa2hHfb0xb5T,1/31/2022 16:19,82,0,81,1,1,82,81,50,19,0.2220872,Flanker,,,,,0.9222222,0.0407407,0.037037,850.48,2,49,1,3,1,3,4,5,5,4,3,3,7,6,2,1,1,3,1,1,2,2,3,4,7,6,2,28.24265,FourteenCoop
R_2tbtRDBaJvBfcLL,2/3/2022 17:10,100,1,100,0,1,100,37,82,86,0.4911197,Flanker,,,,,0.8655914,0.0924014,0.0420072,837.1508,2,69,1,1,1,1,3,7,6,4,7,1,10,8,4,97,2,2,1,4,1,1,1,1,7,7,3,39.30347,BitterCoopCoop
R_3MQzPij6iC1pElX,2/3/2022 18:10,20,1,12,1,1,18,6,90,19,-3.586647,Flanker,,,,,0.8586628,0.0953488,0.0459884,840.2069,2,46,1,4,2,4,2,5,6,7,8,9,8,8,3,3,6,5,4,2,3,1,3,4,9,2,2,35.35596,Other
R_1Hkr3Fvk5YmW5zI,2/2/2022 20:18,33,1,65,1,1,97,4,68,0,-3.474137,Flanker,,,,,0.8717895,0.096,0.0322105,818.7712,2,45,"1,2,6",1,2,1,6,5,7,7,1,1,7,9,4,97,4,2,2,4,1,2,3,3,6,8,3,46.15657,TitForTat
R_2wiYhUvI8m0tMsG,1/31/2022 15:50,16,1,13,1,1,64,0,0,100,-3.283866,Flanker,,,,,0.935,0.03125,0.03375,820.6937,2,53,1,4,1,2,6,3,6,4,6,6,9,9,1,2,6,6,2,4,4,2,4,2,6,8,2,25.68279,Other
R_24kpBW8c434Dwdv,1/31/2022 16:48,48,0,100,1,1,100,100,100,100,-0.1927073,Flanker,,,,,0.9077551,0.0616327,0.0306122,820.813,1,50,1,2,1,1,8,5,1,4,2,6,6,5,4,98,2,2,1,4,1,2,4,1,6,13,3,25.03378,Coop
R_1g55JO8uCgVEVQF,2/2/2022 20:04,63,1,60,1,1,94,35,76,17,1.1613,Flanker,,,,,0.8748148,0.091358,0.0338272,827.9376,2,65,1,3,1,2,3,5,5,3,8,8,8,9,3,1,3,6,1,2,1,2,2,1,8,4,3,27.95361,TitForTat
